pathway	pval	padj	log2err	ES	NES	size	leadingEdge
KEGG_LYSOSOME	2.64910512295288e-13	4.6889160676266e-11	0.932595211336209	0.699760490315409	2.33238254287392	117	50917,74008,13033,27419,27029,74105,17159,12091,11605,12492,75612,19141,12514,27060,52120,14667,19025,15212,19156,14420,16889,11886,16783,20597,11972,13039,56464,83429,71665,13030,13036,110006,56325,13040,58911,11433,15932,11593,17939,12751,252903,64933,211286,16792,13038,20661,242341,56629,76943,229445,11975,110173,11432,16004,18173,67963,12512,15211,108664,15586,11984,64138,11764,11305,18010,12752,432486
KEGG_DNA_REPLICATION	5.77803053617063e-06	0.000340903801634067	0.610526878385931	0.758726641920108	2.10012073983799	35	18973,72151,67153,16881,17218,17217,68275,17220,17219,18968,17215,18969,69263,14156,19076,327762,17216,19891,18971,18538,19075,106344
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	0.00010164842646546	0.00257025306919806	0.538434096309916	0.78761370350727	1.98477572538272	21	50917,27419,27029,12091,75612,52120,15212,110006,15932,15442
KEGG_CELL_CYCLE	3.30406671756051e-06	0.000292409904504105	0.627256739718528	0.57206429296865	1.92820008743447	123	22390,17246,12447,12579,23834,12544,17218,17217,17220,13557,107995,12442,52206,12448,12649,12534,17219,17215,105988,17216,11350,19650,12428,12443,21808,71890,12580,21781,12532,12545,50883,56150,268697,12581,27214,22628,12531,209091,18817,211586,18538,13555,18392,69957,12444,12236,22137,54401,268930,12566
KEGG_OTHER_GLYCAN_DEGRADATION	0.000173021247574714	0.00382809510259055	0.518848077743792	0.829027907507831	1.92385349857335	15	23956,17160,66848,17159,12091,15212,217364,71665,11593,110173,15211,18010
KEGG_P53_SIGNALING_PATHWAY	7.28975514660037e-05	0.00215047776824711	0.538434096309916	0.616630874883141	1.88280530651023	66	12450,22401,29870,13663,12028,230784,57913,17246,12447,20135,16000,20724,12442,12448,12649,12534,12443,12367,12122,11783,12371,50883,66940,19211,268697,58801,68098,209091
KEGG_FATTY_ACID_METABOLISM	0.00133568569273973	0.019701363967911	0.45505986738723	0.624530800416	1.75683444860301	38	78070,11522,74147,14081,72535,12894,11430,11532,52538,15107,23986,11363,216739,11409,80911,12896,56752
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	0.00379931899195987	0.0448319641051264	0.431707695803346	0.645383125640658	1.75650028312428	30	14151,15288,11655,22275,226139,110006,15369,12892,15368,394432,70383,109778,14319,233016,11656
KEGG_SPHINGOLIPID_METABOLISM	0.0010407411556983	0.0167464713235091	0.45505986738723	0.626267383232218	1.75120578876149	37	70750,23956,12091,11605,14420,11886,20597,20397,70059,81535,53897,54447,18010,50784
KEGG_PEROXISOME	0.000910685200375231	0.0161191280466416	0.477270815362862	0.554172346716545	1.74476677600768	77	111175,212503,74147,14081,93734,19299,11430,15926,23986,15112,26874,16922,216739,103737,56535,13142,12908,18477,80911,17117,54683,20280,56273,19302,56690,110959,330450,93732
KEGG_NUCLEOTIDE_EXCISION_REPAIR	0.00336972494592092	0.0426029511020001	0.431707695803346	0.602976080674072	1.72572667046063	43	18973,72151,16881,68275,72584,69263,50505,13872,19891,18971,17420,22590,99375,13194,18538,14884,106344
KEGG_MISMATCH_REPAIR	0.00321548490427971	0.0426029511020001	0.431707695803346	0.684091516092975	1.72157885612888	22	72151,26909,16881,68275,69263,19891,18971,18861,18538,106344
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	0.0121159367561867	0.102120038373573	0.380730400722792	0.694876546034912	1.66664001046429	17	67880,110006,394432,72094,68631,100727,22235,394436,394433,71755,394435,102448
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	0.016964478433409	0.120241196267301	0.352487857583619	0.628365560524896	1.60433702008603	23	23959,18605,667034,18113,12182,12494,50773,67375,76952,11761,74080,103850
KEGG_PROTEASOME	0.00790420198142726	0.077724652817368	0.380730400722792	0.552501501164856	1.59457839372684	44	228769,57296,103554,22123,26445,23997,66413,19181,26446,59029,19170,21762,26441,67089,19166,19185,19172,19186,16913,19175,23996
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	0.011016037300223	0.0974919301069735	0.380730400722792	0.53776673434193	1.58746957292786	53	12028,19057,19094,26397,19058,18125,12367,12122,26415,11783,12371,21937,14812,13163,18040,19132
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	0.00897941363784397	0.0836503270472833	0.380730400722792	0.534840333973603	1.58072096905919	52	13849,11522,56847,14859,13113,14857,11532,56615,394432,66447,14869,14873,73458
